Playbook
"p1184; ['OperationalRiskAssessment', 'OperationalActivityMapping', 'IdentifierReputationAnalysis', 'IdentifierAnalysis']"
"p1185; ['BroadcastDomainIsolation', 'NetworkIsolation', 'RestoreDiskImage', 'RestoreObject', 'NetworkNodeInventory', 'AssetInventory']"
"p1186; ['RestoreObject', 'RestoreDiskImage']"
"p1187; ['RestoreObject', 'RestoreDiskImage', 'RestoreConfiguration', 'RestoreSoftware', 'RestoreNetworkAccess', 'RestoreAccess', 'RestoreUserAccountAccess']"
"p1188; ['RestoreSoftware', 'RestoreObject']"
"p118; ['c:IncidentResponseProcess', 'c:IncidentHandlingManagement']"
"p1190; ['OperatingSystemMonitoring', 'PlatformMonitoring', 'HostShutdown', 'ProcessEviction', 'RestoreAccess', 'RestoreObject', 'RestoreConfiguration', 'RestoreDatabase', 'RestoreDatabase', 'RestoreSoftware']"
"p1191; ['RestoreAccess', 'RestoreObject', 'IdentifierAnalysis', 'IdentifierReputationAnalysis', 'IdentifierActivityAnalysis']"
"p1192; ['IdentifierReputationAnalysis', 'IdentifierAnalysis']"
"p1193; ['IdentifierReputationAnalysis', 'IdentifierAnalysis', 'NetworkTrafficFiltering', 'NetworkIsolation']"
"p1194; ['NetworkIsolation', 'NetworkTrafficFiltering', 'IdentifierReputationAnalysis', 'IdentifierAnalysis']"
"p1195; ['IdentifierReputationAnalysis', 'IdentifierActivityAnalysis', 'IdentifierAnalysis', 'NetworkTrafficFiltering', 'DNSDenylisting', 'NetworkIsolation']"
"p1196; ['NetworkIsolation', 'NetworkTrafficFiltering']"
"p1197; ['NetworkTrafficFiltering', 'NetworkIsolation']"
"p119; ['c:AdditionalTask']"
"p11; ['ExecutableDenylisting', 'ExecutionIsolation', 'NetworkTrafficFiltering', 'NetworkIsolation']"
"p1200; ['IdentifierActivityAnalysis', 'IdentifierAnalysis', 'SenderReputationAnalysis', 'MessageAnalysis', 'NetworkTrafficFiltering', 'NetworkIsolation']"
"p1201; ['ExecutableDenylisting', 'ExecutionIsolation', 'IdentifierActivityAnalysis', 'IdentifierReputationAnalysis', 'IdentifierAnalysis']"
"p1202; ['IdentifierAnalysis', 'IdentifierActivityAnalysis', 'InboundSessionVolumeAnalysis', 'NetworkTrafficAnalysis']"
"p1203; ['FileHashing', 'MessageAnalysis', 'IdentifierActivityAnalysis', 'IdentifierAnalysis', 'IdentifierReputationAnalysis']"
"p1204; ['FileHashing', 'MessageAnalysis', 'ExecutableDenylisting', 'ExecutionIsolation']"
"p1205; ['IdentifierActivityAnalysis', 'IdentifierAnalysis', 'IdentifierReputationAnalysis', 'NetworkTrafficFiltering', 'NetworkIsolation']"
"p1206; ['NetworkTrafficFiltering', 'NetworkIsolation', 'IdentifierReputationAnalysis', 'IdentifierAnalysis', 'IdentifierActivityAnalysis']"
"p1207; ['IdentifierActivityAnalysis', 'IdentifierReputationAnalysis', 'IdentifierAnalysis', 'NetworkTrafficAnalysis', 'NetworkIsolation']"
"p1208; ['NetworkIsolation', 'NetworkTrafficFiltering', 'IdentifierReputationAnalysis', 'IdentifierAnalysis']"
"p120; ['IdentifierReputationAnalysis', 'IdentifierAnalysis']"
"p1210; ['IdentifierAnalysis', 'IdentifierReputationAnalysis', 'SenderReputationAnalysis', 'MessageAnalysis', 'c:IncidentHandlingManagement']"
"p1211; ['IdentifierReputationAnalysis', 'IdentifierAnalysis', 'c:IncidentHandlingManagement', 'FileHashing', 'FileAnalysis']"
"p1212; ['c:CTI_Input']"
"p1213; ['IdentifierReputationAnalysis', 'IdentifierAnalysis', 'NetworkTrafficFiltering', 'NetworkIsolation']"
"p1214; ['c:CTI_Input', 'AssetInventory', 'AssetVulnerabilityEnumeration']"
"p1215; ['AssetInventory', 'AssetVulnerabilityEnumeration']"
"p1216; ['AssetInventory', 'AssetVulnerabilityEnumeration']"
"p1217; ['c:IncidentHandlingManagement', 'c:CTI_Input']"
"p1218; ['IdentifierActivityAnalysis', 'IdentifierAnalysis']"
"p121; ['SenderReputationAnalysis', 'IdentifierReputationAnalysis', 'IdentifierAnalysis', 'MessageAnalysis', 'c:CTI_Input']"
"p12; ['NetworkIsolation', 'NetworkTrafficFiltering', 'ExecutableDenylisting', 'ExecutionIsolation']"
"p1; ['NetworkTrafficFiltering', 'NetworkIsolation', 'ExecutableDenylisting', 'ExecutionIsolation', 'BroadcastDomainIsolation', 'NetworkIsolation']"
"p139; ['c:CTI_Input', 'URLAnalysis', 'IdentifierReputationAnalysis', 'IdentifierAnalysis']"
"p149; ['IdentifierReputationAnalysis', 'IdentifierAnalysis']"
"p159; ['c:IncidentHandlingManagement']"
"p169; ['c:AdditionalTask']"
"p179; ['c:AdditionalTask']"
"p189; ['IdentifierReputationAnalysis', 'IdentifierAnalysis']"
"p199; ['IdentifierReputationAnalysis', 'IdentifierAnalysis', 'FileAnalysis', 'DynamicAnalysis']"
"p209; ['c:IncidentHandlingManagement']"
"p219; ['c:AdditionalTask']"
"p229; ['c:AdditionalTask']"
"p239; ['SenderReputationAnalysis', 'MessageAnalysis', 'IdentifierReputationAnalysis', 'IdentifierAnalysis']"
"p249; ['NetworkTrafficFiltering', 'NetworkIsolation', 'IdentifierActivityAnalysis', 'IdentifierReputationAnalysis', 'IdentifierAnalysis']"
"p259; ['IdentifierReputationAnalysis', 'IdentifierAnalysis', 'c:AdditionalTask']"
"p269; ['c:AdditionalTask']"
"p279; ['c:AdditionalTask']"
"p289; ['AssetVulnerabilityEnumeration', 'AssetInventory']"
"p298; ['FileAnalysis', 'FileHashing']"
"p299; ['FileHashing', 'FileAnalysis']"
"p309; ['c:SystemTest']"
"p319; ['c:AdditionalTask']"
"p329; ['c:AdditionalTask']"
"p339; ['c:SystemTest']"
